name	x	y	z	size	manufacturer	group	hemisphere	impedance
sT7	-58.216	34.685	-11.587	4.155	Ad-Tech Medical (Oak Creek, WI)	sT	L	0.000
sT8	-60.216	31.685	-0.587	4.155	Ad-Tech Medical (Oak Creek, WI)	sT	L	0.000
C01	-26.251	-20.530	78.194	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C02	-29.038	-19.386	77.339	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C03	-31.818	-18.221	76.490	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C04	-34.525	-17.070	75.601	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C05	-37.139	-15.792	74.212	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C06	-39.686	-14.539	72.829	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C07	-42.137	-13.344	71.497	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C08	-44.366	-12.172	70.226	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C09	-25.227	-17.454	79.015	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C10	-27.960	-16.313	78.180	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C11	-30.693	-15.176	77.344	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C12	-33.452	-14.002	76.371	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C13	-36.078	-12.746	75.000	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C14	-38.622	-11.515	73.617	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C15	-41.031	-10.350	72.287	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C16	-43.237	-9.204	70.992	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C17	-24.220	-14.366	79.633	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C18	-26.951	-13.271	78.991	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C19	-29.673	-12.111	78.163	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C20	-32.401	-10.933	77.129	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C21	-35.029	-9.714	75.780	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C22	-37.544	-8.527	74.402	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C23	-39.959	-7.349	73.058	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C24	-42.082	-6.189	71.647	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C25	-23.214	-11.254	80.054	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C26	-25.942	-10.206	79.750	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C27	-28.661	-9.078	78.974	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C28	-31.365	-7.891	77.878	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C29	-33.979	-6.696	76.559	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C30	-36.474	-5.530	75.156	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C31	-38.919	-4.376	73.659	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C32	-40.824	-3.286	72.238	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
FLv1	-1.216	91.685	17.413	4.155	Ad-Tech Medical (Oak Creek, WI)	FLv	L	0.000
FLv2	-10.216	95.685	16.413	4.155	Ad-Tech Medical (Oak Creek, WI)	FLv	L	0.000
FLv3	-20.216	92.685	16.413	4.155	Ad-Tech Medical (Oak Creek, WI)	FLv	L	0.000
FLv4	-29.216	87.685	16.413	4.155	Ad-Tech Medical (Oak Creek, WI)	FLv	L	0.000
FLv5	-38.216	84.685	15.413	4.155	Ad-Tech Medical (Oak Creek, WI)	FLv	L	0.000
FLv6	-45.216	76.685	18.413	4.155	Ad-Tech Medical (Oak Creek, WI)	FLv	L	0.000
FLv7	-49.216	68.685	17.413	4.155	Ad-Tech Medical (Oak Creek, WI)	FLv	L	0.000
FLv8	-53.216	58.685	23.413	4.155	Ad-Tech Medical (Oak Creek, WI)	FLv	L	0.000
FLm1	-1.216	63.685	61.413	4.155	Ad-Tech Medical (Oak Creek, WI)	FLm	L	0.000
FLm2	-1.216	69.685	59.413	4.155	Ad-Tech Medical (Oak Creek, WI)	FLm	L	0.000
FLm3	-6.216	71.685	58.413	4.155	Ad-Tech Medical (Oak Creek, WI)	FLm	L	0.000
FLm4	-15.216	70.685	56.413	4.155	Ad-Tech Medical (Oak Creek, WI)	FLm	L	0.000
FLm5	-24.216	66.685	54.413	4.155	Ad-Tech Medical (Oak Creek, WI)	FLm	L	0.000
FLm6	-34.216	61.685	54.413	4.155	Ad-Tech Medical (Oak Creek, WI)	FLm	L	0.000
FLm7	-43.216	54.685	52.413	4.155	Ad-Tech Medical (Oak Creek, WI)	FLm	L	0.000
FLm8	-49.216	48.685	48.413	4.155	Ad-Tech Medical (Oak Creek, WI)	FLm	L	0.000
FLa1	-3.216	31.685	73.413	4.155	Ad-Tech Medical (Oak Creek, WI)	FLa	L	0.000
FLa2	-9.216	39.685	72.413	4.155	Ad-Tech Medical (Oak Creek, WI)	FLa	L	0.000
FLa3	-17.216	44.685	72.413	4.155	Ad-Tech Medical (Oak Creek, WI)	FLa	L	0.000
FLa4	-25.216	45.685	66.413	4.155	Ad-Tech Medical (Oak Creek, WI)	FLa	L	0.000
FLa5	-32.216	44.685	66.413	4.155	Ad-Tech Medical (Oak Creek, WI)	FLa	L	0.000
FLa6	-45.216	40.685	58.413	4.155	Ad-Tech Medical (Oak Creek, WI)	FLa	L	0.000
FLa7	-51.216	34.685	52.413	4.155	Ad-Tech Medical (Oak Creek, WI)	FLa	L	0.000
FLa8	-55.216	26.685	48.413	4.155	Ad-Tech Medical (Oak Creek, WI)	FLa	L	0.000
