name	type	units	low_cutoff	high_cutoff	reference	group	status	status_description	sampling_frequency
PO60	ECOG	µV	0.000	0.150	G2	PO	good	n/a	512.000
PO61	ECOG	µV	0.000	0.150	G2	PO	good	n/a	512.000
PO62	ECOG	µV	0.000	0.150	G2	PO	good	n/a	512.000
PO63	ECOG	µV	0.000	0.150	G2	PO	good	n/a	512.000
PO64	ECOG	µV	0.000	0.150	G2	PO	good	n/a	512.000
F01	ECOG	µV	0.000	0.150	G2	F	good	n/a	512.000
F02	ECOG	µV	0.000	0.150	G2	F	good	n/a	512.000
F03	ECOG	µV	0.000	0.150	G2	F	good	n/a	512.000
F04	ECOG	µV	0.000	0.150	G2	F	good	n/a	512.000
F05	ECOG	µV	0.000	0.150	G2	F	good	n/a	512.000
F06	ECOG	µV	0.000	0.150	G2	F	good	n/a	512.000
F07	ECOG	µV	0.000	0.150	G2	F	good	n/a	512.000
F08	ECOG	µV	0.000	0.150	G2	F	good	n/a	512.000
vT1	ECOG	µV	0.000	0.150	G2	vT	good	n/a	512.000
vT2	ECOG	µV	0.000	0.150	G2	vT	bad	on top of other channels	512.000
vT3	ECOG	µV	0.000	0.150	G2	vT	good	n/a	512.000
vT4	ECOG	µV	0.000	0.150	G2	vT	good	n/a	512.000
vT5	ECOG	µV	0.000	0.150	G2	vT	good	n/a	512.000
vT6	ECOG	µV	0.000	0.150	G2	vT	good	n/a	512.000
vT7	ECOG	µV	0.000	0.150	G2	vT	bad	on top of other channels	512.000
vT8	ECOG	µV	0.000	0.150	G2	vT	bad	on top of other channels	512.000
sT1	ECOG	µV	0.000	0.150	G2	sT	good	n/a	512.000
sT2	ECOG	µV	0.000	0.150	G2	sT	good	n/a	512.000
sT3	ECOG	µV	0.000	0.150	G2	sT	good	n/a	512.000
sT4	ECOG	µV	0.000	0.150	G2	sT	good	n/a	512.000
sT5	ECOG	µV	0.000	0.150	G2	sT	good	n/a	512.000
sT6	ECOG	µV	0.000	0.150	G2	sT	bad	on top of other channels	512.000
sT7	ECOG	µV	0.000	0.150	G2	sT	bad	on top of other channels	512.000
sT8	ECOG	µV	0.000	0.150	G2	sT	bad	on top of other channels	512.000
Oc1	ECOG	µV	0.000	0.150	G2	Oc	good	n/a	512.000
Oc2	ECOG	µV	0.000	0.150	G2	Oc	good	n/a	512.000
Oc3	ECOG	µV	0.000	0.150	G2	Oc	good	n/a	512.000
Oc4	ECOG	µV	0.000	0.150	G2	Oc	good	n/a	512.000
Oc5	ECOG	µV	0.000	0.150	G2	Oc	good	n/a	512.000
Oc6	ECOG	µV	0.000	0.150	G2	Oc	good	n/a	512.000
Oc7	ECOG	µV	0.000	0.150	G2	Oc	good	n/a	512.000
Oc8	ECOG	µV	0.000	0.150	G2	Oc	good	n/a	512.000
R1	MISC	µV	0.000	0.150	G2	n/a	good	n/a	512.000
R2	MISC	µV	0.000	0.150	G2	n/a	good	n/a	512.000
R3	MISC	µV	0.000	0.150	G2	n/a	good	n/a	512.000
R4	MISC	µV	0.000	0.150	G2	n/a	good	n/a	512.000
R5	MISC	µV	0.000	0.150	G2	n/a	good	n/a	512.000
R6	MISC	µV	0.000	0.150	G2	n/a	good	n/a	512.000
R7	MISC	µV	0.000	0.150	G2	n/a	good	n/a	512.000
R8	MISC	µV	0.000	0.150	G2	n/a	good	n/a	512.000
EMG2+	EMG	µV	0.000	0.150	EMG2-	n/a	good	n/a	512.000
EMG1+	EMG	µV	0.000	0.150	EMG1-	n/a	good	n/a	512.000
orb+	EOG	µV	0.000	0.150	orb-	n/a	good	n/a	512.000
ECG+	ECG	µV	0.000	0.150	ECG-	n/a	good	n/a	512.000
AH+	MISC	µV	0.000	0.150	AH-	n/a	good	n/a	512.000
