name	x	y	z	size	manufacturer	group	hemisphere	impedance
C11	-34.401	-19.493	81.805	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C12	-33.818	-16.272	82.101	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C13	-33.146	-13.036	82.243	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C14	-32.447	-9.807	82.314	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C15	-31.742	-6.596	82.360	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C16	-30.969	-3.426	82.207	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
IH1	0.538	-43.759	67.117	1.327	Ad-Tech Medical (Oak Creek, WI)	IH	L	0.000
IH2	2.025	-34.249	67.592	1.327	Ad-Tech Medical (Oak Creek, WI)	IH	L	0.000
IH3	3.565	-24.141	68.060	1.327	Ad-Tech Medical (Oak Creek, WI)	IH	L	0.000
IH4	5.025	-14.635	67.935	1.327	Ad-Tech Medical (Oak Creek, WI)	IH	L	0.000
IH5	6.565	-4.527	68.403	1.327	Ad-Tech Medical (Oak Creek, WI)	IH	L	0.000
IH6	7.427	5.034	68.305	1.327	Ad-Tech Medical (Oak Creek, WI)	IH	L	0.000
IH7	8.371	15.196	68.799	1.327	Ad-Tech Medical (Oak Creek, WI)	IH	L	0.000
IH8	8.636	24.811	68.727	1.327	Ad-Tech Medical (Oak Creek, WI)	IH	L	0.000
ST1	-14.198	1.420	-3.977	1.327	Ad-Tech Medical (Oak Creek, WI)	ST	L	0.000
ST2	-14.825	9.868	-8.206	1.327	Ad-Tech Medical (Oak Creek, WI)	ST	L	0.000
ST3	-15.915	20.158	-13.026	1.327	Ad-Tech Medical (Oak Creek, WI)	ST	L	0.000
ST4	-22.921	27.457	-9.153	1.327	Ad-Tech Medical (Oak Creek, WI)	ST	L	0.000
ST5	-30.197	30.589	-2.840	1.327	Ad-Tech Medical (Oak Creek, WI)	ST	L	0.000
ST6	-42.106	23.278	1.945	1.327	Ad-Tech Medical (Oak Creek, WI)	ST	L	0.000
ST7	-45.499	21.269	11.120	1.327	Ad-Tech Medical (Oak Creek, WI)	ST	L	0.000
ST8	-47.941	16.757	19.666	1.327	Ad-Tech Medical (Oak Creek, WI)	ST	L	0.000
C17	-33.084	-26.536	82.182	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C18	-32.589	-23.386	82.622	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C19	-32.085	-20.209	83.060	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C20	-31.507	-16.999	83.332	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C21	-30.854	-13.778	83.473	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C22	-30.176	-10.566	83.533	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C23	-29.504	-7.373	83.593	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C24	-28.844	-4.199	83.648	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C25	-30.811	-27.196	83.392	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C26	-30.314	-24.073	83.848	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C27	-29.825	-20.918	84.277	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C28	-29.228	-17.714	84.537	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C29	-28.612	-14.509	84.676	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C30	-27.935	-11.288	84.735	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C31	-27.309	-8.139	84.775	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C32	-26.621	-4.990	84.845	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
