name	x	y	z	size	manufacturer	impedance
C09	60.108	7.498	4.199	1.327	Ad-Tech Medical (Oak Creek, WI)	0.000
C10	60.608	4.855	5.342	1.327	Ad-Tech Medical (Oak Creek, WI)	0.000
C11	61.108	2.212	6.484	1.327	Ad-Tech Medical (Oak Creek, WI)	0.000
C12	61.608	-0.431	7.627	1.327	Ad-Tech Medical (Oak Creek, WI)	0.000
C13	62.108	-3.074	8.770	1.327	Ad-Tech Medical (Oak Creek, WI)	0.000
C14	62.608	-5.717	9.913	1.327	Ad-Tech Medical (Oak Creek, WI)	0.000
C15	63.108	-8.359	11.056	1.327	Ad-Tech Medical (Oak Creek, WI)	0.000
C16	63.608	-11.002	12.199	1.327	Ad-Tech Medical (Oak Creek, WI)	0.000
C17	59.608	8.664	6.865	1.327	Ad-Tech Medical (Oak Creek, WI)	0.000
C18	60.108	6.021	8.008	1.327	Ad-Tech Medical (Oak Creek, WI)	0.000
C19	60.608	3.379	9.151	1.327	Ad-Tech Medical (Oak Creek, WI)	0.000
C20	61.108	0.736	10.294	1.327	Ad-Tech Medical (Oak Creek, WI)	0.000
C21	61.608	-1.907	11.437	1.327	Ad-Tech Medical (Oak Creek, WI)	0.000
C22	62.108	-4.550	12.580	1.327	Ad-Tech Medical (Oak Creek, WI)	0.000
C23	62.608	-7.193	13.723	1.327	Ad-Tech Medical (Oak Creek, WI)	0.000
C24	63.108	-9.836	14.865	1.327	Ad-Tech Medical (Oak Creek, WI)	0.000
C25	59.108	9.831	9.532	1.327	Ad-Tech Medical (Oak Creek, WI)	0.000
C26	59.608	7.188	10.675	1.327	Ad-Tech Medical (Oak Creek, WI)	0.000
C27	60.108	4.545	11.818	1.327	Ad-Tech Medical (Oak Creek, WI)	0.000
C28	60.608	1.902	12.961	1.327	Ad-Tech Medical (Oak Creek, WI)	0.000
C29	61.108	-0.740	14.103	1.327	Ad-Tech Medical (Oak Creek, WI)	0.000
C30	61.608	-3.383	15.246	1.327	Ad-Tech Medical (Oak Creek, WI)	0.000
C31	62.108	-6.026	16.389	1.327	Ad-Tech Medical (Oak Creek, WI)	0.000
C32	62.608	-8.669	17.532	1.327	Ad-Tech Medical (Oak Creek, WI)	0.000
T01	49.608	33.331	-18.468	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
T02	56.608	24.331	-16.468	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
T03	60.608	14.331	-15.468	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
T04	63.608	5.331	-14.468	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
T05	65.608	-4.669	-13.468	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
T06	68.608	-15.669	-13.468	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
T07	68.608	-26.669	-12.468	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
T08	67.608	-35.669	-11.468	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
T09	49.608	36.331	-6.468	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
T10	52.608	25.331	-6.468	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
T11	57.608	15.331	-5.468	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
T12	61.608	5.331	-4.468	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
T13	63.608	-3.669	-3.468	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
T14	64.608	-14.669	-2.468	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
T15	66.608	-25.669	-1.468	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
T16	65.608	-35.669	-1.468	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
sT1	23.608	36.331	-24.468	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
sT2	19.608	30.331	-30.468	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
sT3	18.608	23.331	-39.468	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
sT4	22.608	15.331	-46.468	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
sT5	31.608	15.331	-49.468	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
sT6	40.608	12.331	-48.468	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
sT7	50.608	11.331	-45.468	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
sT8	57.608	9.331	-40.468	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
