name	type	units	low_cutoff	high_cutoff	reference	group	status	sampling_frequency
rL1	ECOG	µV	0.000	0.150	G2	rL	good	512.000
rL2	ECOG	µV	0.000	0.150	G2	rL	good	512.000
rL3	ECOG	µV	0.000	0.150	G2	rL	good	512.000
rL4	ECOG	µV	0.000	0.150	G2	rL	good	512.000
rL5	ECOG	µV	0.000	0.150	G2	rL	good	512.000
rL6	ECOG	µV	0.000	0.150	G2	rL	good	512.000
rL7	ECOG	µV	0.000	0.150	G2	rL	good	512.000
rL8	ECOG	µV	0.000	0.150	G2	rL	good	512.000
R1	MISC	µV	0.000	0.150	G2	n/a	good	512.000
R2	MISC	µV	0.000	0.150	G2	n/a	good	512.000
R3	MISC	µV	0.000	0.150	G2	n/a	good	512.000
R4	MISC	µV	0.000	0.150	G2	n/a	good	512.000
R5	MISC	µV	0.000	0.150	G2	n/a	good	512.000
R6	MISC	µV	0.000	0.150	G2	n/a	good	512.000
R7	MISC	µV	0.000	0.150	G2	n/a	good	512.000
R8	MISC	µV	0.000	0.150	G2	n/a	good	512.000
orb+	EOG	µV	0.000	0.150	orb-	n/a	good	512.000
ECG+	ECG	µV	0.000	0.150	ECG-	n/a	good	512.000
AH+	MISC	µV	0.000	0.150	AH-	n/a	good	512.000
